episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
1,0.435257,0.327750,0.045345,0.571242,211,0.002387,10,1.000000,1422,1129,-0.047972,0.019947,0.141233,0.000000,4.175694,12.642496,0.000300
2,1.127155,0.570849,0.025979,0.749880,254,0.004235,10,1.000000,1544,1007,-0.082461,0.292576,0.540903,0.000000,22.719707,10.449523,0.000300
3,0.806575,0.541058,0.027335,0.930962,300,0.075827,10,1.000000,1652,897,0.012303,0.744760,0.867022,0.054688,34.440292,10.980836,0.000270
4,1.145327,0.605543,0.022898,0.905839,299,0.070937,10,1.000000,1643,906,-0.046605,1.114058,1.059466,0.031250,40.667866,11.637026,0.000243
5,1.683039,0.693233,0.021455,0.893986,296,0.073180,10,1.000000,1622,933,0.061947,3.159082,1.849737,0.335938,56.438702,16.158119,0.000219
6,1.906279,0.726983,0.021563,0.865217,303,0.067476,10,1.000000,1670,882,0.252368,2.856925,1.749935,0.226562,68.896179,15.954673,0.000197
7,1.572636,0.685109,0.021042,0.875847,296,0.081137,10,1.000000,1657,893,0.029123,1.825091,1.390868,0.125000,71.051620,13.577767,0.000177
8,1.079209,0.608654,0.024722,0.877576,294,0.052787,10,1.000000,1636,918,0.013091,0.902312,1.072918,0.054688,69.000076,15.090961,0.000159
9,1.694329,0.680321,0.022662,0.863466,289,0.079115,10,1.000000,1695,861,-0.103380,1.366923,1.193285,0.109375,82.896378,22.159872,0.000143
10,1.291936,0.638808,0.021123,0.926449,293,0.071036,10,1.000000,1646,907,-0.008291,1.150164,1.153324,0.093750,81.231674,20.424675,0.000129
11,1.243199,0.631554,0.022823,0.928344,298,0.064099,10,1.000000,1662,893,-0.096257,0.834593,1.011673,0.054688,83.671066,16.629576,0.000116
12,1.473469,0.644686,0.021253,0.890953,293,0.066661,10,1.000000,1676,878,-0.126742,1.117879,1.145375,0.054688,88.996231,20.623466,0.000105
13,1.210642,0.634432,0.021383,0.915390,296,0.078031,10,1.000000,1643,909,-0.083777,0.797539,1.016487,0.046875,88.593994,17.314180,0.000100
14,1.473565,0.651712,0.022850,0.913549,292,0.071850,10,1.000000,1662,893,-0.131038,1.936566,1.559580,0.179688,93.182404,22.516863,0.000100
15,1.372167,0.663908,0.019120,0.910285,298,0.056530,10,1.000000,1644,909,-0.087612,0.987716,1.127785,0.070312,94.139381,18.650209,0.000100
16,1.960690,0.719854,0.014417,0.920826,295,0.073749,10,1.000000,1632,920,0.049596,2.793544,1.848279,0.234375,104.089066,27.431759,0.000100
