episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
40,-9.827295,0.111198,0.013016,0.989573,1660,0.010320,10,1.000000,1657,888,0.011730,0.475561,0.695952,0.023576,-614.589783,178.957489,0.000300
41,-9.781592,0.103786,0.012454,0.989053,1698,0.008197,10,1.000000,1664,896,0.025359,0.371314,0.609443,0.003906,-631.686157,185.325653,0.000300
42,-8.711081,0.132389,0.015917,0.986591,1748,0.007237,10,1.000000,1730,830,0.007061,0.284961,0.533817,0.000000,-600.769409,192.624435,0.000300
43,-8.417545,0.132675,0.012892,0.985664,1743,0.005865,10,1.000000,1710,850,0.007648,0.287277,0.535983,0.000000,-608.912170,185.950928,0.000300
44,-9.807879,0.101651,0.009701,0.983646,1709,0.011288,10,1.000000,1691,869,0.005181,0.251984,0.503896,0.019531,-625.068054,181.411331,0.000300
45,-9.787930,0.112171,0.009111,0.986021,1678,0.004390,10,1.000000,1657,903,0.017170,0.474923,0.696636,0.023438,-645.187378,173.245987,0.000300
46,-8.320665,0.132354,0.015077,0.986383,1616,0.005939,10,1.000000,1633,927,0.037296,1.859571,1.408184,0.230469,-627.381042,173.067245,0.000300
47,-10.573517,0.102482,0.015516,0.993905,1773,0.009451,10,1.000000,1763,797,0.001118,1.884504,1.396958,0.242188,-604.967102,207.383133,0.000300
48,-8.795941,0.117257,0.008620,0.991195,1724,0.008194,10,1.000000,1686,874,0.028870,2.117269,1.515122,0.253906,-646.268066,171.695190,0.000300
49,-11.125735,0.090552,0.011071,0.989553,1706,0.006278,10,1.000000,1679,881,0.018246,1.799103,1.430113,0.160156,-669.133484,190.822403,0.000300
50,-8.854444,0.139058,0.012804,0.987111,1725,0.011938,10,1.000000,1680,880,0.048993,1.716913,1.346395,0.230469,-668.984802,150.182236,0.000300
51,-8.768095,0.117561,0.013363,0.984802,1668,0.008860,10,1.000000,1660,900,0.045776,0.162347,0.403490,0.007812,-651.434265,163.973572,0.000300
52,-9.163505,0.138765,0.016491,0.984884,1811,0.006360,10,1.000000,1763,797,0.038521,0.113631,0.337241,0.003906,-646.615845,175.152267,0.000300
