episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
1,1.165032,0.647837,0.024430,0.080222,156,0.003009,10,1.000000,1265,1283,0.047493,0.058937,0.242768,0.000000,16.219618,22.440363,0.000300
2,2.185477,0.761109,0.023465,0.086904,183,0.003817,10,1.000000,1329,1215,-0.050288,0.444568,0.666835,0.007812,56.973278,27.727688,0.000300
3,3.252133,0.863857,0.019521,0.113749,229,0.006411,10,1.000000,1302,1230,-0.026912,1.212338,1.105635,0.078125,105.392021,36.136765,0.000300
4,3.412374,0.870066,0.018009,0.123100,266,0.003659,10,1.000000,1135,1386,-0.119506,0.389929,0.658870,0.031250,104.339920,28.975334,0.000300
5,4.859276,0.938175,0.015247,0.199752,431,0.065101,10,1.000000,767,1679,-0.112558,4.790347,2.255246,0.679688,176.497772,31.158527,0.000270
6,5.335634,0.951414,0.014840,0.190301,411,0.064057,10,1.000000,790,1682,-0.051346,5.563642,2.442108,0.742188,192.833420,39.641159,0.000243
7,5.106683,0.941527,0.015499,0.198035,442,0.055008,10,1.000000,779,1687,-0.096746,4.520350,2.224388,0.585938,201.196289,33.600098,0.000219
8,4.897055,0.933163,0.014720,0.190647,439,0.055430,10,1.000000,783,1669,-0.107409,3.689968,2.017457,0.312500,207.947861,35.202477,0.000197
9,5.023706,0.944009,0.015085,0.201930,422,0.064468,10,1.000000,753,1681,-0.005274,3.277155,1.850540,0.343750,222.203613,38.622486,0.000177
10,4.888235,0.937966,0.015630,0.197880,462,0.066255,10,1.000000,804,1652,-0.008188,3.154623,1.920815,0.085938,229.097519,39.392937,0.000159
11,5.185974,0.949217,0.015365,0.195458,409,0.063770,10,1.000000,784,1672,-0.138735,3.235733,1.801301,0.335938,238.535202,42.784428,0.000143
12,5.473994,0.954288,0.014195,0.211874,478,0.063262,10,1.000000,756,1686,-0.045791,3.625637,2.031786,0.093750,264.860443,45.313751,0.000129
13,5.097409,0.943509,0.015489,0.202990,457,0.054841,10,1.000000,796,1647,0.011557,3.493207,2.054290,0.195312,254.256592,43.283466,0.000116
14,5.455064,0.955815,0.013835,0.218981,490,0.055634,10,1.000000,707,1732,-0.114310,3.752951,2.145218,0.320312,280.730804,47.733059,0.000105
15,5.520853,0.955031,0.014623,0.201068,474,0.061592,10,1.000000,746,1716,0.017212,3.871018,2.217875,0.195312,279.436462,48.159359,0.000100
16,5.037591,0.925482,0.015492,0.195404,447,0.063646,10,1.000000,752,1721,0.022606,3.322331,2.070241,0.250000,271.996887,48.967857,0.000100
17,5.125432,0.941749,0.015435,0.177181,410,0.070012,10,1.000000,806,1667,-0.010987,3.283659,1.957657,0.156250,267.845825,49.297283,0.000100
18,5.440565,0.954462,0.014147,0.191049,441,0.080676,10,1.000000,777,1677,0.014651,3.531024,2.234157,0.218750,292.575531,49.779194,0.000100
19,5.629964,0.956771,0.014656,0.198612,477,0.051231,10,1.000000,724,1721,-0.167251,3.186264,1.940490,0.140625,303.948120,52.391327,0.000100
20,5.287884,0.945319,0.015261,0.208016,467,0.056136,10,1.000000,745,1703,-0.106599,3.608511,2.436284,0.109375,309.981842,55.310081,0.000100
21,5.420234,0.950462,0.014845,0.209486,470,0.060720,10,1.000000,711,1746,0.016855,3.889994,2.538918,0.132812,321.803436,56.649773,0.000100
22,5.288978,0.947593,0.014877,0.204756,467,0.067912,10,1.000000,767,1675,-0.134768,2.281021,1.715469,0.062500,323.631470,56.661148,0.000100
23,5.035279,0.940720,0.015180,0.187076,409,0.069500,10,1.000000,767,1691,-0.001304,3.767919,2.560899,0.164062,307.584076,54.294720,0.000100
24,5.291368,0.945596,0.014956,0.196930,423,0.055682,10,1.000000,696,1764,-0.088259,2.734360,1.999543,0.093750,330.054810,58.240574,0.000100
25,5.010929,0.942452,0.015153,0.209548,453,0.073771,10,1.000000,696,1753,0.019945,3.283508,2.479719,0.156250,339.124115,61.340504,0.000100
26,4.917501,0.937722,0.015348,0.206079,436,0.068451,10,1.000000,646,1805,-0.069116,2.401875,2.008285,0.093750,341.255035,60.946671,0.000100
27,4.990659,0.940203,0.014221,0.200801,463,0.065018,10,1.000000,688,1757,-0.049829,2.585250,1.962950,0.101562,350.495239,60.079056,0.000100
28,5.172315,0.947183,0.014578,0.207337,457,0.056846,10,1.000000,702,1724,0.132833,3.954576,2.761235,0.171875,363.143799,64.270493,0.000100
