episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
1,-5.307341,0.092475,0.199549,0.916041,157,0.006591,10,1.000000,1300,1245,-0.205200,0.245283,0.495261,0.000000,-87.933548,27.094730,0.000300
2,-8.982358,0.034779,0.306904,0.778092,132,0.004830,10,1.000000,1176,1352,0.058228,0.540409,0.740043,0.017544,-174.478531,49.607990,0.000300
3,-3.373385,0.222773,0.134570,0.976154,272,0.026645,10,1.000000,1311,1212,-0.183569,1.332643,1.265974,0.117188,-191.040649,40.726471,0.000300
4,-2.492649,0.350996,0.113981,0.982686,301,0.267765,10,1.000000,1437,1083,-0.016125,1.555641,1.445896,0.085938,-220.732330,45.744053,0.000270
5,-2.133841,0.340368,0.113797,0.971115,292,0.407342,10,1.000000,1558,976,-0.002285,1.338089,1.242238,0.054688,-192.449829,38.778381,0.000243
6,-3.187112,0.263665,0.115932,0.978785,303,0.736726,10,1.000000,1704,831,-0.009084,0.843533,0.984101,0.046875,-179.353104,39.515675,0.000219
7,-1.316976,0.516614,0.082745,0.984695,297,1.007134,10,1.000000,1823,713,0.170086,0.922728,1.061961,0.070312,-155.490906,28.650259,0.000197
8,-2.619984,0.353224,0.102913,0.971231,304,1.171160,10,1.000000,1742,607,0.271096,0.591723,0.769896,0.029851,-164.620697,37.838520,0.000177
9,-2.052769,0.456861,0.088413,0.978255,297,1.378214,10,1.000000,1827,712,-0.009902,1.265651,1.208333,0.078125,-165.146515,41.604397,0.000159
10,-2.209540,0.369238,0.101952,0.978965,295,1.458993,10,1.000000,1901,635,0.199479,0.798004,0.988419,0.039062,-163.023331,35.098270,0.000143
11,-1.351769,0.547047,0.074701,0.988680,306,1.509169,10,1.000000,1973,557,0.147764,0.723215,0.901187,0.039062,-149.851776,32.279007,0.000129
12,-1.394175,0.522866,0.076875,0.986488,296,1.322135,10,1.000000,1997,531,0.229034,0.598975,0.831513,0.046875,-142.527145,30.035330,0.000116
13,-1.749907,0.460808,0.086828,0.977275,295,1.167848,10,1.000000,1955,576,0.218507,0.742133,0.893535,0.031250,-143.115509,31.889471,0.000105
14,-1.956188,0.424426,0.090162,0.982382,296,0.914702,10,1.000000,1930,598,0.024777,0.713892,0.895124,0.070312,-141.959671,28.432217,0.000100
15,-1.718633,0.444570,0.090692,0.981695,296,0.759335,10,1.000000,1953,573,0.032375,0.610422,0.820233,0.031250,-140.404083,27.931702,0.000100
16,-1.394175,0.521576,0.081297,0.985596,292,0.660733,10,1.000000,2046,477,0.077091,0.921617,1.004753,0.078125,-132.210632,27.884871,0.000100
17,-1.203793,0.542130,0.073836,0.985401,304,0.547385,10,1.000000,2043,485,0.100800,0.322759,0.577449,0.031250,-123.571426,21.544559,0.000100
18,-1.473562,0.491806,0.089349,0.979782,292,0.665680,10,1.000000,1974,551,0.129015,0.381548,0.642060,0.031250,-121.417747,25.275955,0.000100
19,-1.070010,0.566532,0.069472,0.983369,296,0.640595,10,1.000000,1957,566,0.045796,0.366589,0.615479,0.031250,-112.944786,21.769226,0.000100
20,-1.898391,0.427371,0.095112,0.980359,298,0.560723,10,1.000000,2038,492,0.081762,0.469455,0.697608,0.031250,-119.754662,25.342772,0.000100
21,-1.606745,0.453229,0.090045,0.988472,297,0.603768,10,1.000000,1943,581,0.029641,0.669968,0.856584,0.065574,-119.431786,22.968849,0.000100
22,-1.764677,0.429460,0.091832,0.983554,296,0.624826,10,1.000000,1971,543,0.133921,0.434161,0.679276,0.031250,-123.637917,25.576742,0.000100
23,-1.449549,0.505871,0.077667,0.981969,294,0.583085,10,1.000000,1977,538,0.041873,0.460863,0.689873,0.015625,-120.715805,25.740335,0.000100
24,-1.593510,0.476399,0.079825,0.980168,300,0.576740,10,1.000000,2005,522,-0.003074,0.450678,0.705187,0.031250,-123.126610,22.506674,0.000100
25,-1.557840,0.467795,0.087002,0.984349,295,0.589986,10,1.000000,1999,531,0.032543,0.494611,0.717045,0.039683,-118.079674,24.041594,0.000100
26,-2.181499,0.392967,0.095504,0.989325,294,0.594940,10,1.000000,2003,531,0.058899,0.601853,0.797631,0.054688,-126.753273,28.849062,0.000100
27,-1.053882,0.565808,0.071074,0.978006,298,0.504117,10,1.000000,2008,526,0.104079,0.301250,0.556272,0.023438,-116.488754,23.160530,0.000100
28,-1.511031,0.487736,0.080806,0.983705,294,0.532017,10,1.000000,2023,508,0.076008,0.553176,0.757906,0.046875,-117.081093,25.987432,0.000100
29,-1.681221,0.472969,0.088291,0.977221,301,0.570562,10,1.000000,1970,535,-0.015284,0.503609,0.723070,0.035088,-120.008385,29.494965,0.000100
30,-1.207284,0.552470,0.076792,0.980125,299,0.686931,10,1.000000,1990,540,0.178665,0.439200,0.672620,0.031250,-114.738998,26.599180,0.000100
31,-1.371162,0.529763,0.078126,0.981730,295,0.655587,10,1.000000,2030,503,0.068476,0.455648,0.693132,0.046875,-113.430054,21.870886,0.000100
32,-0.979471,0.591646,0.064923,0.980169,292,0.652265,10,1.000000,2022,500,0.103618,0.333695,0.580484,0.023438,-103.646828,21.876308,0.000100
33,-2.089556,0.403639,0.092046,0.975520,292,0.646290,10,1.000000,1933,580,0.036936,0.444575,0.670471,0.023438,-115.028870,25.640486,0.000100
34,-1.366372,0.526947,0.075664,0.975922,292,0.595210,10,1.000000,1947,584,0.032521,0.731308,0.886788,0.062500,-114.590919,24.600996,0.000100
35,-1.423295,0.502794,0.082320,0.971788,301,0.653603,10,1.000000,1992,538,0.117616,0.361695,0.602783,0.023438,-113.169113,24.818743,0.000100
36,-2.295938,0.376685,0.093279,0.978329,306,0.756568,10,1.000000,1985,537,0.058851,0.526316,0.745691,0.015625,-125.807640,29.314362,0.000100
37,-1.890422,0.447513,0.087745,0.976070,300,0.804595,10,1.000000,1999,527,0.063609,0.719892,0.896422,0.046875,-131.590057,30.177334,0.000100
38,-1.451332,0.496256,0.082907,0.974989,299,0.751815,10,1.000000,1966,560,0.249603,0.598995,0.784504,0.031250,-127.119308,30.057173,0.000100
39,-1.260895,0.552206,0.071165,0.984024,293,0.662048,10,1.000000,2024,492,0.168533,0.409470,0.641308,0.007812,-120.656593,25.934092,0.000100
40,-1.115178,0.591565,0.068016,0.989151,298,0.614208,10,1.000000,2039,483,0.117243,0.452719,0.691054,0.039062,-112.341324,24.147213,0.000100
41,-1.388416,0.517752,0.083633,0.983715,298,0.574845,10,1.000000,2042,490,0.058855,0.511106,0.736153,0.046875,-112.266258,23.125448,0.000100
42,-1.629099,0.461533,0.085568,0.973577,306,0.610057,10,1.000000,1997,532,0.093221,0.406098,0.661339,0.023438,-114.971512,23.397751,0.000100
43,-1.882736,0.475713,0.084147,0.985518,297,0.679149,10,1.000000,1964,553,0.080919,0.689067,0.830963,0.015625,-120.130638,34.475746,0.000100
44,-2.004665,0.423722,0.094160,0.969375,303,0.641107,10,1.000000,1947,575,0.062009,0.851000,0.955745,0.070312,-125.378922,31.440340,0.000100
45,-1.009644,0.587561,0.072930,0.989135,298,0.641480,10,1.000000,1975,540,0.094616,0.450699,0.687898,0.039062,-115.386330,23.190260,0.000100
46,-1.685605,0.482657,0.082620,0.983279,305,0.601315,10,1.000000,1988,542,0.106592,0.559617,0.752895,0.015625,-118.093651,29.164190,0.000100
47,-2.580264,0.390077,0.097114,0.973943,301,0.684595,10,1.000000,2003,519,0.059650,1.096393,1.065599,0.054688,-137.398483,38.732529,0.000100
48,-1.247115,0.518863,0.080635,0.970656,305,0.682748,10,1.000000,1982,542,0.121917,0.623496,0.810531,0.039062,-127.974197,27.787075,0.000100
49,-1.519902,0.501892,0.081936,0.981761,292,0.588094,10,1.000000,2024,515,0.176844,0.651497,0.827408,0.031746,-115.687149,29.310774,0.000100
50,-2.637790,0.352921,0.096148,0.990621,299,0.641451,10,1.000000,1973,564,0.006264,0.924485,0.989938,0.054688,-144.930267,35.400379,0.000100
51,-1.164122,0.534917,0.077995,0.980105,302,0.602245,10,1.000000,1998,534,0.094238,0.593135,0.788766,0.062500,-130.688187,26.448872,0.000100
52,-1.133325,0.552533,0.071593,0.978886,296,0.648660,10,1.000000,2002,504,0.200022,0.324592,0.599854,0.031250,-119.824081,19.426191,0.000100
53,-1.124637,0.565663,0.070575,0.990965,303,0.681135,10,1.000000,2034,477,0.051074,0.438048,0.674491,0.039062,-109.902176,21.831034,0.000100
54,-1.797978,0.460548,0.083587,0.989437,304,0.639770,10,1.000000,2003,523,0.037569,0.529556,0.740136,0.054688,-108.185204,24.178421,0.000100
55,-1.486558,0.494195,0.078153,0.988321,293,0.620973,10,1.000000,1997,529,0.064080,0.491706,0.715679,0.039062,-109.900040,22.750181,0.000100
56,-1.303699,0.527361,0.080150,0.986130,299,0.690398,10,1.000000,1922,600,0.080761,0.385409,0.624958,0.015625,-102.598312,22.301788,0.000100
57,-1.923729,0.407873,0.093465,0.983533,297,0.594376,10,1.000000,2001,516,0.073859,0.763265,0.895975,0.056911,-112.784088,27.329426,0.000100
58,-2.259028,0.389645,0.097363,0.983256,297,0.589727,10,1.000000,2002,542,0.090928,0.909411,0.986126,0.062500,-124.221970,30.178007,0.000100
59,-1.825896,0.414544,0.095161,0.974441,297,0.622375,10,1.000000,1922,612,0.005771,0.362486,0.615020,0.031250,-127.800003,20.205030,0.000100
60,-1.676132,0.500788,0.081392,0.983166,298,0.606230,10,1.000000,1957,573,0.096631,0.420721,0.662796,0.023438,-126.769676,22.276142,0.000100
61,-1.790380,0.441356,0.086527,0.993348,301,0.607535,10,1.000000,1904,632,0.105621,0.567563,0.789435,0.054688,-127.514877,23.751940,0.000100
62,-0.870328,0.585829,0.071011,0.972730,304,0.588829,10,1.000000,1971,559,0.070932,0.446514,0.681124,0.031250,-114.157471,21.496609,0.000100
63,-2.214219,0.420427,0.089646,0.980811,295,0.656197,10,1.000000,1999,529,0.160791,0.804641,0.912831,0.031250,-119.530807,30.884253,0.000100
64,-2.080988,0.426409,0.087930,0.986600,294,0.711703,10,1.000000,1957,570,0.117670,0.393398,0.642716,0.007812,-126.871094,25.060337,0.000100
65,-1.900684,0.427622,0.092721,0.981537,299,0.723339,10,1.000000,1967,563,0.126651,0.258490,0.508419,0.000000,-129.299362,29.089685,0.000100
66,-1.720293,0.464611,0.080884,0.985198,303,0.727729,10,1.000000,1966,565,0.088240,0.570832,0.767965,0.039062,-132.123627,27.682617,0.000100
67,-2.534251,0.337624,0.099286,0.980657,301,0.781192,10,1.000000,1940,577,0.000442,0.883908,0.987027,0.062500,-136.564941,31.063599,0.000100
68,-2.124256,0.378399,0.097144,0.977903,293,0.738926,10,1.000000,1909,613,0.116312,0.404548,0.638333,0.007812,-136.957458,32.906944,0.000100
69,-1.919234,0.384998,0.105233,0.978884,301,0.644480,10,1.000000,1952,576,0.005261,0.840249,0.955153,0.080000,-125.632332,27.643045,0.000100
