episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
1,-17.958998,0.022909,0.249264,0.876062,172,0.000196,10,1.000000,1334,1212,-0.036558,1.320938,1.178255,0.039108,-290.170410,54.779476,0.000300
2,-9.028904,0.281271,0.109931,0.977985,338,0.001343,10,1.000000,1541,1003,-0.067791,3.623446,2.043578,0.230469,-383.973969,131.486282,0.000300
3,-6.656770,0.346902,0.086828,0.989338,412,0.004524,10,1.000000,1674,882,-0.048812,1.391628,1.277010,0.089844,-426.838959,91.221367,0.000300
4,-7.861206,0.302448,0.094032,0.975302,502,0.005413,10,1.000000,1762,788,-0.049460,1.695992,1.415430,0.125000,-463.903992,115.946732,0.000300
5,-5.074068,0.450114,0.049493,0.982941,812,0.033846,10,1.000000,1905,647,-0.005462,0.906727,1.051966,0.062500,-429.858795,95.389519,0.000278
6,-4.124009,0.449978,0.051097,0.967376,746,0.007398,10,1.000000,1861,689,-0.022962,0.808142,0.939033,0.039062,-420.639221,95.187889,0.000300
7,-4.084603,0.508068,0.025638,0.983590,1072,0.033290,10,1.000000,1987,568,0.012263,0.519515,0.740064,0.031250,-331.743591,71.094185,0.000278
8,-3.794087,0.537795,0.027677,0.983279,1116,0.041438,10,1.000000,1940,616,0.003855,0.608889,0.790434,0.027344,-301.969177,60.503975,0.000258
9,-4.275202,0.492107,0.022952,0.990608,1159,0.040712,10,1.000000,1992,561,0.010360,0.414971,0.650527,0.019531,-282.404846,58.556606,0.000239
10,-3.880462,0.555667,0.026107,0.979291,1237,0.042078,10,1.000000,1968,587,-0.002003,0.623870,0.793055,0.019531,-263.894531,50.272465,0.000222
11,-4.313657,0.524699,0.020421,0.981774,1316,0.055831,10,1.000000,1989,571,0.000304,0.546203,0.740802,0.015625,-252.747223,43.306923,0.000199
12,-4.466204,0.513950,0.025848,0.979282,1198,0.040593,10,1.000000,1916,644,0.017721,0.384599,0.622314,0.015625,-246.998566,45.003780,0.000185
13,-4.354819,0.506161,0.023004,0.978551,1300,0.046452,10,1.000000,1934,626,0.005804,0.452436,0.674678,0.015625,-244.600433,41.070740,0.000166
14,-4.386139,0.502563,0.022717,0.980327,1272,0.039048,10,1.000000,1907,653,0.017878,0.451363,0.674675,0.015625,-247.175247,41.799828,0.000154
15,-4.945671,0.526562,0.025122,0.982652,1354,0.044971,10,1.000000,1906,651,0.019869,0.466007,0.686123,0.015625,-256.453735,44.571449,0.000143
16,-5.410126,0.507640,0.023656,0.992367,1439,0.051322,10,1.000000,1958,602,0.021360,0.524573,0.728472,0.019531,-267.600403,46.827969,0.000129
17,-4.785176,0.526642,0.020796,0.986418,1419,0.044984,10,1.000000,1932,627,0.018210,0.543420,0.743231,0.019531,-267.237762,45.915112,0.000119
18,-5.392849,0.490101,0.018463,0.989299,1367,0.050704,10,1.000000,1893,667,0.024717,0.547024,0.747824,0.023438,-281.759338,48.963081,0.000107
19,-4.647453,0.485526,0.024367,0.976149,1380,0.022474,10,1.000000,1928,630,0.013616,0.421586,0.673319,0.031250,-279.938995,47.345329,0.000118
20,-5.072970,0.496352,0.017974,0.985752,1438,0.056226,10,1.000000,1867,693,0.016336,0.549327,0.762426,0.031250,-307.799164,52.504044,0.000106
21,-5.051163,0.515753,0.017733,0.984139,1440,0.047171,10,1.000000,1905,628,0.031195,0.543110,0.761597,0.031571,-312.425110,53.506954,0.000100
22,-4.855243,0.515772,0.018200,0.975089,1488,0.045554,10,1.000000,1926,633,0.021293,0.580275,0.788242,0.031250,-314.664825,55.056740,0.000100
23,-5.076557,0.516834,0.023658,0.988152,1438,0.048711,10,1.000000,1885,675,0.024724,0.553096,0.775352,0.035156,-321.327209,55.457687,0.000100
24,-4.886744,0.506485,0.015542,0.984787,1453,0.025722,10,1.000000,1891,669,0.022612,0.551758,0.793036,0.042969,-325.397766,56.707680,0.000110
25,-5.111482,0.502661,0.011670,0.985685,1512,0.023144,10,1.000000,1863,696,0.022970,0.610996,0.842367,0.042969,-346.866394,61.122318,0.000121
26,-5.069978,0.551665,0.013431,0.984841,1554,0.051606,10,1.000000,1880,679,0.029409,0.665153,0.875480,0.042969,-360.951721,64.051697,0.000109
27,-5.156469,0.499764,0.017991,0.990809,1506,0.053832,10,1.000000,1822,738,0.028644,0.654376,0.874457,0.042969,-365.754517,64.117424,0.000100
28,-5.221758,0.511784,0.015193,0.987284,1478,0.026547,10,1.000000,1809,751,0.031684,0.652592,0.892634,0.050781,-371.129456,64.800484,0.000110
29,-5.121829,0.513298,0.017892,0.992333,1500,0.050101,10,1.000000,1810,744,0.030043,0.694829,0.916786,0.046985,-382.679382,67.541237,0.000100
30,-5.008677,0.512665,0.017626,0.986059,1492,0.047634,10,1.000000,1773,785,0.031833,0.682974,0.914861,0.046875,-383.812408,67.344345,0.000100
31,-5.475592,0.485659,0.012927,0.988974,1578,0.044207,10,1.000000,1828,731,0.035359,0.734525,0.943203,0.046875,-393.213562,69.682732,0.000103
32,-5.293221,0.528125,0.016904,0.985804,1584,0.027146,10,1.000000,1817,743,0.032852,0.722740,0.955815,0.050781,-394.852295,69.870377,0.000113
33,-5.533793,0.509002,0.011488,0.988788,1600,0.024340,10,1.000000,1831,729,0.032309,0.762551,0.987048,0.054688,-409.194977,73.220421,0.000125
34,-5.892918,0.463120,0.014980,0.986976,1599,0.022231,10,1.000000,1814,745,0.034466,0.795179,1.023986,0.058226,-424.206573,75.134087,0.000137
35,-5.373179,0.538614,0.019768,0.987295,1664,0.017638,10,1.000000,1813,747,0.037475,0.796270,1.034455,0.058594,-429.468445,76.752327,0.000151
36,-5.525938,0.476203,0.009700,0.979169,1582,0.025606,10,1.000000,1788,771,0.038515,0.817888,1.053894,0.058594,-434.046814,78.014435,0.000166
37,-5.956813,0.506434,0.014725,0.982042,1600,0.021164,10,1.000000,1792,768,0.039886,0.899612,1.103792,0.062500,-444.624817,77.108871,0.000182
38,-5.895876,0.453236,0.012494,0.989756,1573,0.020867,10,1.000000,1695,865,0.038691,0.856834,1.081904,0.058594,-456.047424,79.315094,0.000201
39,-5.309082,0.480741,0.011420,0.986433,1524,0.020833,10,1.000000,1700,860,0.038629,0.865443,1.070938,0.054688,-449.882874,79.116257,0.000221
40,-5.492911,0.510534,0.014276,0.988634,1570,0.016550,10,1.000000,1713,847,0.041894,0.821315,1.040622,0.054688,-442.753815,76.735397,0.000243
