episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
40,-0.068869,0.078532,0.245195,0.977502,295,0.152138,10,1.000000,256,2161,0.020973,0.787931,0.974184,0.070312,-22.686367,13.979668,0.000100
41,-0.153939,0.107850,0.217797,0.992136,290,0.123290,10,1.000000,269,2147,0.101980,0.459105,0.693833,0.046875,-23.377369,10.115428,0.000100
42,-0.178404,0.086458,0.229528,0.986020,298,0.077049,10,1.000000,264,2155,0.079868,0.470509,0.707488,0.039062,-22.959269,10.905791,0.000100
43,-0.225503,0.068500,0.261186,0.986126,292,0.132060,10,1.000000,232,2212,0.106520,0.476581,0.715728,0.031250,-23.748394,10.469794,0.000100
44,-0.278338,0.062332,0.265342,0.982920,292,0.128333,10,1.000000,223,2236,-0.079534,0.953334,1.021533,0.085938,-24.651606,8.404799,0.000100
45,-0.397563,0.047084,0.255468,0.988036,299,0.206591,10,1.000000,277,2125,-0.088602,0.571938,0.780602,0.054688,-24.991537,7.551361,0.000100
46,-0.268437,0.082297,0.236805,0.984959,291,0.212357,10,1.000000,300,2103,0.105110,0.639765,0.827809,0.070312,-24.858484,8.700519,0.000100
47,-0.152259,0.076970,0.271975,0.978759,292,0.149846,10,1.000000,248,2187,0.115117,0.693449,0.879562,0.070312,-24.529827,10.890498,0.000100
48,-0.242639,0.073799,0.254305,0.980198,294,0.102091,10,1.000000,227,2214,0.179131,0.273346,0.523108,0.015625,-24.965343,9.610464,0.000100
49,-0.381115,0.061981,0.275752,0.979068,295,0.202158,10,1.000000,283,2146,-0.053037,0.816379,0.943307,0.101562,-25.809326,7.503306,0.000100
50,-0.218394,0.075476,0.252329,0.985432,300,0.191743,10,1.000000,308,2103,-0.001564,0.785198,0.940378,0.054688,-25.272999,8.929832,0.000100
51,-0.224005,0.078555,0.247478,0.982536,294,0.151365,10,1.000000,260,2177,-0.031131,0.634008,0.834474,0.046875,-25.505901,8.812948,0.000100
52,-0.249881,0.051878,0.273717,0.989168,300,0.078067,10,1.000000,220,2230,0.099963,0.502214,0.748436,0.046875,-26.207300,8.347512,0.000100
53,-0.238048,0.076424,0.251129,0.987692,296,0.125494,10,1.000000,248,2181,-0.175934,1.007449,1.048826,0.109375,-25.673588,7.799232,0.000100
54,-0.350287,0.057693,0.249940,0.985229,300,0.125167,10,1.000000,251,2190,0.104729,0.494662,0.718405,0.046875,-26.858740,5.882575,0.000100
55,-0.078632,0.135575,0.205781,0.983593,299,0.269326,10,1.000000,259,2174,0.079591,1.190994,1.322346,0.078125,-24.420429,10.076258,0.000100
56,-0.420820,0.039356,0.245100,0.989356,294,0.101507,10,1.000000,248,2178,0.062391,0.626924,0.859100,0.070312,-26.979239,5.118333,0.000100
57,-0.062817,0.091957,0.245687,0.978284,290,0.284259,10,1.000000,236,2206,0.091006,1.055865,1.111723,0.101562,-24.424557,12.391440,0.000100
58,-0.248337,0.071199,0.259667,0.988080,293,0.134648,10,1.000000,220,2231,0.001252,0.624531,0.813986,0.070312,-25.960583,7.790921,0.000100
59,-0.294777,0.049147,0.255587,0.988384,290,0.216652,10,1.000000,238,2197,0.054861,0.327688,0.581614,0.015625,-26.454117,6.675734,0.000100
60,-0.256696,0.080328,0.241462,0.984013,297,0.163282,10,1.000000,231,2211,0.115302,0.464884,0.721376,0.039062,-25.874456,7.073366,0.000100
61,-0.215709,0.070353,0.263125,0.988893,299,0.153585,10,1.000000,243,2193,0.006127,0.902786,1.037674,0.078125,-25.469940,7.973787,0.000100
62,-0.239219,0.062871,0.267896,0.986484,296,0.049316,10,1.000000,191,2275,0.017344,0.621447,0.799228,0.070312,-24.878557,9.340529,0.000100
63,-0.216677,0.071306,0.242938,0.984452,297,0.142398,10,1.000000,230,2193,0.142881,0.380025,0.626864,0.023438,-25.079128,8.423238,0.000100
64,-0.234841,0.067052,0.256798,0.993220,292,0.154963,10,1.000000,266,2168,0.138831,0.466139,0.711376,0.039062,-25.553293,8.067713,0.000100
65,-0.237970,0.080261,0.223687,0.984059,296,0.134200,10,1.000000,253,2173,0.065748,0.466270,0.718186,0.046875,-25.156456,8.119373,0.000100
66,-0.330991,0.059608,0.252457,0.990149,294,0.093059,10,1.000000,221,2231,0.039811,0.693024,0.882354,0.054688,-25.362095,7.302415,0.000100
67,-0.165790,0.081002,0.235314,0.984178,299,0.068929,10,1.000000,182,2276,0.053131,0.565656,0.792998,0.054688,-24.514341,10.776485,0.000100
68,-0.245826,0.085505,0.228441,0.990534,296,0.240437,10,1.000000,289,2120,0.115869,0.740154,0.888347,0.062500,-24.626890,9.291945,0.000100
69,-0.239116,0.071417,0.253804,0.992181,297,0.216770,10,1.000000,292,2116,0.002722,0.642475,0.840550,0.062500,-24.600023,8.589048,0.000100
70,-0.375083,0.059418,0.253555,0.992674,299,0.260779,10,1.000000,298,2117,-0.117670,0.731870,0.891209,0.085938,-25.343042,5.740426,0.000100
71,-0.155492,0.077536,0.240522,0.985349,290,0.161708,10,1.000000,275,2159,-0.101164,0.816122,0.941045,0.062500,-22.942759,10.931492,0.000100
72,-0.162814,0.072650,0.237863,0.983082,297,0.200069,10,1.000000,243,2190,0.015509,0.529789,0.740979,0.046875,-22.149624,9.982432,0.000100
73,-0.182336,0.077933,0.255977,0.987990,298,0.095497,10,1.000000,201,2253,0.042205,0.459836,0.685961,0.023438,-21.394148,8.913890,0.000100
74,-0.066172,0.093197,0.234767,0.983515,298,0.122290,10,1.000000,210,2230,0.042112,0.354286,0.613381,0.007812,-19.551998,13.587072,0.000100
75,-0.244440,0.060081,0.268483,0.986320,292,0.092090,10,1.000000,225,2220,0.078825,0.563235,0.763216,0.046875,-21.481791,8.410416,0.000100
76,-0.216460,0.061142,0.258408,0.986707,299,0.133770,10,1.000000,219,2219,-0.034495,0.609295,0.788716,0.046875,-21.691387,9.961575,0.000100
77,-0.268071,0.064264,0.272583,0.983439,292,0.160867,10,1.000000,230,2213,0.130880,1.182616,1.223798,0.093750,-22.692963,9.966906,0.000100
78,-0.227655,0.071912,0.277762,0.992139,300,0.103272,10,1.000000,188,2277,0.173098,0.312991,0.577205,0.015625,-24.033724,8.517896,0.000100
79,-0.209101,0.057304,0.263240,0.987299,297,0.176625,10,1.000000,195,2266,0.092629,0.455059,0.683569,0.031250,-24.877188,9.840930,0.000100
80,-0.351065,0.041510,0.260357,0.983932,299,0.250464,10,1.000000,274,2149,0.038185,1.248071,1.266911,0.109375,-26.004795,6.698505,0.000100
81,-0.361394,0.043968,0.290514,0.984336,294,0.171701,10,1.000000,224,2232,0.056363,0.833179,0.969630,0.085938,-26.790882,7.013001,0.000100
82,-0.291197,0.060041,0.227325,0.989248,294,0.150653,10,1.000000,244,2197,0.005334,0.466257,0.706480,0.031250,-26.669245,7.118986,0.000100
83,-0.432807,0.044087,0.275902,0.987647,294,0.246331,10,1.000000,269,2150,0.015508,0.761831,0.956671,0.062500,-27.251232,5.622803,0.000100
84,-0.264302,0.066658,0.288180,0.982693,298,0.095226,10,1.000000,219,2237,0.085310,0.529883,0.738122,0.062500,-26.963995,8.553015,0.000100
85,-0.127812,0.099457,0.220499,0.984607,295,0.212490,10,1.000000,272,2147,0.062733,1.000659,1.068056,0.117188,-25.496771,10.032758,0.000100
86,-0.274669,0.078777,0.248808,0.984418,297,0.070737,10,1.000000,183,2279,0.068689,0.441720,0.675496,0.031250,-26.934658,7.228196,0.000100
87,-0.292953,0.075284,0.277900,0.982065,294,0.160575,10,1.000000,205,2235,0.133506,0.397469,0.650333,0.023438,-26.768686,8.147631,0.000100
88,-0.144800,0.080464,0.251703,0.981450,297,0.211376,10,1.000000,203,2247,0.075985,0.819720,0.975348,0.078125,-26.239264,9.905643,0.000100
89,-0.139990,0.077620,0.246296,0.982775,293,0.236068,10,1.000000,240,2195,0.049125,0.953023,1.044104,0.101562,-26.075245,10.597415,0.000100
90,-0.098107,0.085205,0.252411,0.988477,298,0.124840,10,1.000000,213,2233,0.043416,1.510877,1.470631,0.117188,-25.703033,11.076387,0.000100
91,-0.247423,0.061377,0.271729,0.985150,297,0.079428,10,1.000000,240,2203,0.083368,0.426487,0.663655,0.031250,-26.992214,8.157353,0.000100
92,-0.161478,0.071188,0.242323,0.984448,293,0.187372,10,1.000000,260,2154,0.004723,0.903478,1.009406,0.093750,-26.086201,9.934306,0.000100
93,-0.158925,0.085589,0.261270,0.985814,298,0.236901,10,1.000000,249,2186,0.153879,0.675317,0.871484,0.062500,-25.839214,9.970181,0.000100
94,-0.148698,0.090282,0.217060,0.984602,299,0.108550,10,1.000000,255,2174,0.035248,1.063663,1.112511,0.101562,-25.411108,10.073036,0.000100
95,-0.238845,0.090067,0.218292,0.991152,291,0.247339,10,1.000000,247,2180,0.033536,0.624587,0.819632,0.062500,-25.476864,8.344012,0.000100
96,-0.141780,0.082350,0.230887,0.986395,296,0.162116,10,1.000000,286,2132,0.157671,0.486278,0.721559,0.046875,-24.674652,10.923593,0.000100
97,-0.273171,0.087406,0.251194,0.990108,297,0.062441,10,1.000000,220,2228,0.070120,0.346985,0.610781,0.023438,-25.119801,7.792628,0.000100
98,-0.371549,0.031705,0.296937,0.989533,296,0.143667,10,1.000000,263,2149,-0.161655,0.876615,0.966197,0.093750,-25.638916,7.406814,0.000100
99,-0.237358,0.081626,0.252541,0.988231,294,0.216597,10,1.000000,266,2148,-0.027520,0.688638,0.865351,0.062500,-24.572756,9.115584,0.000100
100,-0.319232,0.041304,0.277211,0.984438,297,0.181924,10,1.000000,242,2197,0.088831,1.156722,1.138171,0.125000,-25.244431,7.319418,0.000100
101,-0.252953,0.088798,0.243216,0.987411,291,0.333681,10,1.000000,309,2102,0.158835,0.874137,0.980431,0.109375,-24.332024,9.035579,0.000100
102,-0.113085,0.079637,0.248315,0.981602,291,0.105112,10,1.000000,260,2165,0.138247,0.464788,0.713732,0.023438,-23.483027,12.501787,0.000100
103,-0.170853,0.086059,0.254031,0.988586,299,0.366214,10,1.000000,278,2143,0.151266,0.388699,0.643347,0.031250,-23.848240,10.946288,0.000100
104,-0.288663,0.065187,0.243169,0.984408,295,0.262763,10,1.000000,280,2143,0.147778,0.992045,1.057131,0.101562,-24.669872,7.731359,0.000100
105,-0.251982,0.063392,0.242860,0.981800,299,0.093133,10,1.000000,224,2216,-0.008444,0.688380,0.853124,0.062500,-23.437677,8.721650,0.000100
106,-0.230115,0.055500,0.275424,0.983316,297,0.192300,10,1.000000,262,2163,0.039908,0.510321,0.720534,0.031250,-22.340906,8.983500,0.000100
107,-0.418022,0.052971,0.298849,0.989212,291,0.055368,10,1.000000,191,2266,0.042759,0.862652,1.010079,0.070312,-23.084087,5.045141,0.000100
108,-0.202387,0.064178,0.258543,0.982274,298,0.116501,10,1.000000,204,2242,0.003264,0.467521,0.696085,0.031250,-21.419651,9.589972,0.000100
109,-0.188897,0.093029,0.220468,0.989520,298,0.206296,10,1.000000,228,2204,0.047772,0.646460,0.822909,0.070312,-21.142286,7.444901,0.000100
110,-0.255129,0.052725,0.251167,0.981753,301,0.188024,10,1.000000,234,2188,-0.005354,0.334272,0.580280,0.015625,-22.647022,6.766241,0.000100
111,-0.255669,0.074039,0.278370,0.992401,293,0.082441,10,1.000000,183,2272,0.008939,0.498166,0.717642,0.039062,-23.150707,7.262472,0.000100
112,-0.250269,0.078757,0.251333,0.986203,294,0.123216,10,1.000000,250,2182,-0.006954,0.494598,0.714542,0.031250,-23.712864,7.039253,0.000100
113,-0.391861,0.052057,0.268490,0.989592,299,0.093729,10,1.000000,246,2187,-0.004915,1.327895,1.247652,0.132812,-25.138817,5.447226,0.000100
114,-0.228251,0.046025,0.277929,0.983119,297,0.250116,10,1.000000,253,2164,0.085642,0.543161,0.773182,0.046875,-25.098492,8.102886,0.000100
115,-0.244252,0.110164,0.230321,0.989401,292,0.144637,10,1.000000,190,2271,0.107039,0.417330,0.664975,0.039062,-24.927225,7.354822,0.000100
116,-0.117062,0.095355,0.220993,0.981218,297,0.184598,10,1.000000,278,2136,0.005452,1.224666,1.210672,0.125000,-24.762602,10.132125,0.000100
117,-0.257965,0.078417,0.227354,0.983545,297,0.289188,10,1.000000,283,2137,0.065545,0.646328,0.852136,0.070312,-26.127838,7.437901,0.000100
118,-0.470210,0.012467,0.308246,0.989168,294,0.154773,10,1.000000,197,2271,0.007798,0.777424,0.951267,0.078125,-27.618336,5.163956,0.000100
119,-0.131933,0.116736,0.207350,0.984686,291,0.088611,10,1.000000,246,2187,0.110264,0.614311,0.796011,0.046875,-25.012739,9.266120,0.000100
120,-0.198717,0.077751,0.230553,0.985156,293,0.150951,10,1.000000,311,2104,0.017711,0.607472,0.828879,0.039062,-25.780563,8.520204,0.000100
121,-0.163324,0.093025,0.265187,0.990802,299,0.130272,10,1.000000,237,2201,0.132022,0.635850,0.839037,0.054688,-25.512865,9.632587,0.000100
122,-0.404768,0.047144,0.253371,0.984959,292,0.104661,10,1.000000,234,2209,0.098819,0.255993,0.520490,0.015625,-26.948156,5.224873,0.000100
123,-0.244149,0.057714,0.241545,0.986786,295,0.113993,10,1.000000,218,2221,0.198629,0.359770,0.625757,0.023438,-26.130733,8.102555,0.000100
124,-0.378469,0.048428,0.258720,0.990186,299,0.178777,10,1.000000,222,2212,0.044969,0.609320,0.811927,0.039062,-27.060675,5.660036,0.000100
125,-0.411467,0.047185,0.261285,0.992096,300,0.119936,10,1.000000,238,2194,0.014933,0.529352,0.756531,0.046875,-27.078760,5.327826,0.000100
126,-0.265431,0.060802,0.307950,0.985195,296,0.186837,10,1.000000,204,2246,0.121335,0.502931,0.722215,0.046875,-26.250677,8.123328,0.000100
127,-0.199695,0.076569,0.265849,0.984681,293,0.148256,10,1.000000,185,2268,-0.011232,0.643812,0.828169,0.078125,-25.886272,9.120468,0.000100
128,-0.219833,0.059205,0.284472,0.985264,291,0.210368,10,1.000000,204,2254,0.095170,0.584711,0.795224,0.054688,-26.330011,9.026509,0.000100
129,-0.151082,0.094423,0.228905,0.987023,294,0.182000,10,1.000000,310,2097,0.014011,0.805757,0.940081,0.070312,-25.345100,9.647600,0.000100
130,-0.249553,0.067823,0.235775,0.989249,296,0.162905,10,1.000000,237,2204,-0.039866,0.685378,0.865401,0.070312,-26.324436,7.413596,0.000100
131,-0.136544,0.086039,0.246199,0.988746,296,0.148078,10,1.000000,250,2175,0.087687,0.575042,0.777492,0.046875,-24.654850,11.535507,0.000100
132,-0.291032,0.077255,0.214383,0.985661,291,0.228330,10,1.000000,301,2103,-0.000195,0.504215,0.731827,0.054688,-25.685247,7.549166,0.000100
133,-0.191043,0.073878,0.260005,0.989181,299,0.214821,10,1.000000,213,2233,0.212324,0.301780,0.577698,0.031250,-25.331293,9.314192,0.000100
134,-0.072260,0.086484,0.262126,0.987732,300,0.243676,10,1.000000,205,2222,0.064393,0.839992,1.005068,0.062500,-23.913979,13.368462,0.000100
135,-0.137335,0.091890,0.257865,0.986054,292,0.265282,10,1.000000,247,2184,0.071239,0.524305,0.753802,0.039062,-23.914036,12.379149,0.000100
136,-0.368922,0.043495,0.268046,0.987295,298,0.264306,10,1.000000,272,2143,-0.074245,0.650444,0.849893,0.062500,-25.674801,6.844225,0.000100
137,-0.238560,0.075527,0.269869,0.982341,292,0.079022,10,1.000000,169,2292,0.058317,0.306968,0.573800,0.007812,-24.727488,9.727493,0.000100
138,-0.241450,0.045209,0.287810,0.988509,294,0.168437,10,1.000000,233,2204,0.055540,0.949363,1.025139,0.093750,-24.586246,10.418572,0.000100
139,-0.335766,0.058524,0.242995,0.984993,291,0.119002,10,1.000000,243,2192,0.074304,0.569669,0.780686,0.054688,-25.019320,6.063264,0.000100
140,-0.298397,0.049878,0.264021,0.990181,291,0.227168,10,1.000000,271,2154,-0.028059,0.521423,0.736439,0.039062,-24.840021,7.785143,0.000100
141,-0.254148,0.070438,0.265502,0.988076,291,0.075159,10,1.000000,250,2183,-0.078343,0.382112,0.633855,0.023438,-24.046953,8.362895,0.000100
