episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
40,-4.120850,0.138431,0.975295,0.732666,102,0.071944,10,1.000000,318,2227,0.034464,0.988177,1.061550,0.097656,-246.497467,54.042358,0.000100
41,-3.548102,0.170644,0.966919,0.691950,99,0.067461,10,1.000000,369,2178,0.034309,0.902138,1.022890,0.062500,-242.233475,51.956951,0.000100
42,-3.933823,0.159056,0.940225,0.698502,100,0.062685,10,1.000000,349,2197,0.014098,0.990500,1.081016,0.093750,-248.999069,54.929306,0.000100
43,-3.932417,0.153503,0.962559,0.706743,99,0.066752,10,1.000000,297,2245,0.021104,0.891434,1.023503,0.082031,-249.348343,52.107357,0.000100
44,-3.664927,0.172969,0.967753,0.754073,101,0.065075,10,1.000000,337,2203,0.016265,0.933244,1.045189,0.058594,-249.886841,53.887352,0.000100
45,-4.061819,0.142139,0.943630,0.690312,102,0.069165,10,1.000000,321,2225,0.019995,0.926189,1.045251,0.085938,-250.350662,52.409836,0.000100
46,-3.355354,0.171471,0.966495,0.693231,100,0.060936,10,1.000000,303,2242,0.026806,0.821076,0.989276,0.062500,-244.530807,50.179401,0.000100
47,-3.713475,0.153406,0.956124,0.683491,102,0.068955,10,1.000000,297,2253,0.026510,0.787280,0.965276,0.066406,-244.370316,48.994083,0.000100
48,-3.885426,0.165818,0.965156,0.725788,101,0.059789,10,1.000000,280,2260,0.015739,1.034469,1.087594,0.097656,-246.584747,56.553619,0.000100
49,-3.522634,0.151107,0.958514,0.671680,101,0.060256,10,1.000000,318,2222,0.020070,0.738297,0.923232,0.050781,-235.977615,48.996815,0.000100
50,-3.641992,0.172608,0.960830,0.726823,99,0.052632,10,1.000000,278,2257,0.022636,0.810714,0.957322,0.054816,-233.278336,51.160870,0.000100
51,-3.899861,0.171950,0.945751,0.734152,100,0.053335,10,1.000000,306,2235,0.020108,0.885900,0.999922,0.074219,-230.815399,53.878902,0.000100
52,-3.800835,0.168864,0.964761,0.695972,99,0.064206,10,1.000000,274,2271,0.034609,0.782811,0.938278,0.074219,-226.466599,50.560623,0.000100
53,-3.902470,0.157116,0.959839,0.722836,103,0.060646,10,1.000000,282,2260,0.015898,0.881355,0.993363,0.074219,-232.895584,54.351486,0.000100
54,-3.219942,0.181055,0.948842,0.687469,99,0.045080,10,1.000000,268,2277,0.039038,0.644867,0.867387,0.054688,-227.014801,45.741600,0.000100
55,-4.335735,0.135901,0.957708,0.649178,101,0.057051,10,1.000000,323,2215,0.016347,1.064554,1.092240,0.105469,-238.646118,60.342632,0.000100
56,-4.113541,0.153436,0.960750,0.725970,99,0.059637,10,1.000000,270,2269,0.006824,0.960901,1.039864,0.078125,-240.244095,58.737514,0.000100
