episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
1,-14.667647,0.112297,0.152616,0.982596,232,0.005638,10,1.000000,1381,1152,-0.068460,1.101249,1.070731,0.089844,-240.322113,64.423035,0.000300
2,-5.430894,0.401148,0.076756,0.990226,526,0.002412,10,1.000000,1579,959,-0.064557,1.491389,1.254830,0.156250,-268.808899,77.662399,0.000300
3,-5.678064,0.392211,0.073251,0.977106,616,0.003189,10,1.000000,1639,901,-0.055735,1.368332,1.221515,0.101562,-298.425995,81.323906,0.000300
4,-3.580985,0.538569,0.038278,0.982251,1009,0.037213,10,1.000000,1737,811,0.012895,0.522991,0.785098,0.046875,-304.383484,51.947651,0.000278
5,-4.569254,0.461202,0.040500,0.966841,958,0.006066,10,1.000000,1757,782,-0.024720,0.611797,0.828277,0.043002,-309.777802,62.307358,0.000300
6,-5.181014,0.447427,0.035729,0.983072,1157,0.036127,10,1.000000,1825,729,0.016616,0.654407,0.845062,0.039062,-315.610596,66.545227,0.000278
7,-5.686698,0.446463,0.039084,0.979794,1235,0.046093,10,1.000000,1861,687,0.015124,0.724843,0.885528,0.039062,-331.334808,73.352211,0.000250
8,-4.841539,0.498606,0.022635,0.984687,1320,0.042689,10,1.000000,1832,724,0.024337,0.601339,0.814655,0.039062,-326.336731,57.585766,0.000232
9,-5.025633,0.488554,0.024347,0.980132,1377,0.055992,10,1.000000,1822,735,0.029307,0.597288,0.818733,0.039062,-337.206024,60.662315,0.000209
10,-5.315387,0.488214,0.022929,0.982361,1369,0.045282,10,1.000000,1812,742,0.035029,0.695683,0.892945,0.042969,-359.179993,68.815880,0.000188
11,-4.966548,0.506202,0.019284,0.982870,1411,0.049834,10,1.000000,1818,739,0.025644,0.687996,0.904780,0.046875,-368.443420,63.412331,0.000169
12,-5.599571,0.463811,0.018477,0.985737,1394,0.053416,10,1.000000,1833,724,0.034993,0.774074,0.972534,0.050781,-390.979309,73.703758,0.000152
13,-4.427123,0.525482,0.024098,0.979308,1356,0.054554,10,1.000000,1777,776,0.032688,0.825320,1.020972,0.054795,-388.565247,67.194267,0.000137
14,-5.227304,0.492369,0.020221,0.979225,1423,0.055268,10,1.000000,1833,725,0.042711,0.762032,0.994642,0.054688,-405.219086,71.577621,0.000123
15,-5.061266,0.529710,0.024335,0.993748,1482,0.064445,10,1.000000,1806,747,0.037494,0.824953,1.037664,0.054688,-407.651520,70.135651,0.000111
16,-4.892531,0.503479,0.015806,0.983658,1466,0.056566,10,1.000000,1834,723,0.035558,0.892346,1.072171,0.054688,-408.513733,70.482704,0.000100
17,-5.024478,0.493048,0.014271,0.982493,1395,0.059794,10,1.000000,1774,783,0.041127,0.822066,1.041623,0.058594,-407.945984,70.623283,0.000100
18,-5.819098,0.473562,0.028781,0.974526,1418,0.052468,10,1.000000,1777,782,0.038964,0.901354,1.076511,0.054688,-420.887787,78.574478,0.000100
19,-4.467676,0.564285,0.016857,0.984068,1426,0.052802,10,1.000000,1830,722,0.040263,0.889512,1.070162,0.054837,-401.439362,69.132767,0.000100
20,-5.048723,0.512640,0.019342,0.981040,1487,0.051929,10,1.000000,1793,763,0.041450,0.828957,1.029336,0.050781,-405.502747,68.853004,0.000100
21,-4.761571,0.519052,0.013970,0.976553,1467,0.056283,10,1.000000,1789,768,0.035004,0.880047,1.055812,0.054709,-401.951721,68.975189,0.000100
22,-5.300676,0.534211,0.017347,0.985899,1656,0.045522,10,1.000000,1905,653,0.034891,0.892299,1.048299,0.050781,-404.087341,69.210014,0.000100
23,-6.043265,0.464969,0.018657,0.981186,1559,0.044972,10,1.000000,1831,726,0.040630,0.825701,1.017268,0.050781,-409.183441,71.216873,0.000103
24,-5.094825,0.523948,0.011221,0.978284,1551,0.065011,10,1.000000,1807,752,0.030714,0.875572,1.044922,0.050781,-401.248138,69.501205,0.000100
25,-5.163864,0.510444,0.016963,0.979228,1527,0.055581,10,1.000000,1776,780,0.028572,0.807523,1.015540,0.050781,-402.804230,68.489655,0.000100
26,-5.368335,0.492871,0.019454,0.981802,1535,0.050082,10,1.000000,1803,757,0.036097,0.836491,1.035958,0.054688,-406.585358,69.584152,0.000100
27,-5.045922,0.511931,0.014603,0.985361,1535,0.054687,10,1.000000,1784,775,0.031816,0.863995,1.049101,0.054688,-402.938660,69.705299,0.000100
28,-5.542538,0.459650,0.016966,0.979556,1530,0.046234,10,1.000000,1765,791,0.030229,0.875530,1.059124,0.054730,-412.281281,71.313210,0.000100
29,-5.263418,0.497027,0.015884,0.987668,1531,0.049479,10,1.000000,1802,758,0.033366,0.874097,1.065550,0.054688,-409.193146,70.686234,0.000100
30,-5.126558,0.534125,0.017960,0.982937,1508,0.062059,10,1.000000,1786,774,0.027860,0.846432,1.059302,0.054688,-408.863190,70.092262,0.000100
31,-5.283907,0.495488,0.012959,0.975937,1588,0.053899,10,1.000000,1847,713,0.025552,0.919335,1.089274,0.054688,-413.413757,72.579155,0.000100
32,-5.471331,0.544376,0.016917,0.983258,1603,0.045395,10,1.000000,1797,762,0.028840,0.888294,1.081755,0.054688,-417.332275,72.104965,0.000100
33,-5.179917,0.535161,0.012462,0.984535,1575,0.051735,10,1.000000,1785,773,0.031831,0.900742,1.093501,0.054688,-414.999176,72.561943,0.000100
34,-5.529783,0.483416,0.019365,0.989722,1541,0.040329,10,1.000000,1772,781,0.034035,0.902510,1.099949,0.058731,-419.914154,73.076096,0.000103
35,-5.338817,0.510889,0.020076,0.987742,1580,0.043560,10,1.000000,1793,767,0.026236,0.949815,1.124707,0.058594,-421.354736,74.813560,0.000103
36,-5.311567,0.538940,0.021940,0.984690,1620,0.041798,10,1.000000,1783,775,0.031414,0.922118,1.116514,0.058594,-423.661774,74.627220,0.000103
37,-5.469979,0.502286,0.020591,0.982288,1589,0.042871,10,1.000000,1803,757,0.032140,0.942463,1.130706,0.058594,-428.060211,75.797249,0.000103
38,-5.227919,0.537000,0.018785,0.983836,1603,0.044971,10,1.000000,1797,759,0.036497,0.961574,1.147829,0.058594,-428.229401,77.057701,0.000103
39,-5.629912,0.489805,0.015227,0.979669,1592,0.026715,10,1.000000,1795,762,0.031826,0.897043,1.129680,0.062500,-435.742371,75.966415,0.000113
40,-5.364680,0.535959,0.013762,0.992894,1604,0.023736,10,1.000000,1759,801,0.031193,0.908381,1.115617,0.058594,-440.089935,78.158592,0.000125
41,-5.724985,0.476654,0.013267,0.994591,1618,0.043725,10,1.000000,1774,785,0.040945,0.916950,1.118589,0.058594,-444.782532,80.799263,0.000116
42,-5.337735,0.519635,0.013083,0.988056,1606,0.031693,10,1.000000,1751,809,0.032176,0.821700,1.042808,0.054688,-440.891907,81.332069,0.000119
43,-5.474517,0.527535,0.012056,0.986419,1666,0.031886,10,1.000000,1802,758,0.035921,0.731929,0.975466,0.054688,-437.296295,83.736130,0.000123
44,-5.595226,0.487465,0.011416,0.990730,1606,0.031160,10,1.000000,1771,789,0.037435,0.712404,0.974461,0.050781,-444.390869,89.771255,0.000126
45,-5.666813,0.491261,0.016635,0.987899,1586,0.028706,10,1.000000,1732,828,0.039417,0.624138,0.890584,0.046875,-452.271790,92.879128,0.000139
46,-5.612856,0.503992,0.010977,0.992898,1643,0.035635,10,1.000000,1735,825,0.039440,0.487358,0.761038,0.035156,-448.376465,98.857544,0.000143
47,-5.933697,0.491835,0.017444,0.981957,1634,0.030735,10,1.000000,1735,824,0.048351,0.448520,0.708585,0.027344,-455.955994,96.575539,0.000147
48,-5.564865,0.489945,0.013796,0.983527,1602,0.027876,10,1.000000,1733,827,0.030450,0.501241,0.731356,0.027344,-447.853912,100.486702,0.000162
49,-7.047379,0.452760,0.029629,0.988786,1576,0.021876,10,1.000000,1679,881,0.031701,0.880013,0.942982,0.062500,-477.706604,111.175034,0.000178
50,-5.741486,0.460759,0.017798,0.985980,1571,0.029241,10,1.000000,1678,882,0.029755,0.265600,0.516443,0.007812,-434.262634,120.843964,0.000196
51,-6.170998,0.475704,0.015074,0.992752,1625,0.036129,10,1.000000,1689,871,0.025091,1.824674,1.400057,0.191406,-431.823578,125.041359,0.000202
52,-5.770933,0.492211,0.007160,0.995433,1610,0.022443,10,1.000000,1729,831,0.031654,0.718339,0.849340,0.015625,-461.557678,104.469032,0.000222
53,-5.492959,0.501946,0.016657,0.984930,1639,0.029035,10,1.000000,1720,840,0.047062,0.271269,0.528374,0.011719,-443.010651,107.003761,0.000244
54,-5.728541,0.503147,0.013765,0.986058,1699,0.030337,10,1.000000,1772,788,0.024497,0.248055,0.498051,0.000000,-439.814880,113.120247,0.000252
55,-5.599744,0.540901,0.017193,0.981465,1735,0.021078,10,1.000000,1779,781,0.020275,0.394719,0.628267,0.000000,-387.654633,127.978447,0.000277
56,-5.567720,0.502025,0.015667,0.987847,1609,0.023692,10,1.000000,1716,844,0.018607,0.257158,0.507108,0.000000,-386.945984,113.924072,0.000300
57,-6.514250,0.464295,0.016482,0.991088,1596,0.018994,10,1.000000,1690,870,0.013206,0.350747,0.592239,0.000000,-370.132202,117.014374,0.000300
58,-5.817858,0.534455,0.014734,0.989207,1738,0.019926,10,1.000000,1785,775,0.017679,0.497069,0.706417,0.015625,-326.902435,109.655479,0.000300
59,-5.638527,0.517007,0.007728,0.985907,1635,0.020373,10,1.000000,1694,866,0.022540,0.426969,0.684552,0.039062,-367.915588,86.751640,0.000300
60,-5.502171,0.495619,0.015091,0.988322,1582,0.024913,10,1.000000,1675,885,0.025535,0.515565,0.758575,0.046875,-380.467102,77.204948,0.000300
61,-6.595644,0.481387,0.018419,0.988762,1691,0.014447,10,1.000000,1739,821,0.027247,0.363214,0.625167,0.031250,-379.210968,84.440445,0.000300
62,-5.762265,0.483235,0.013255,0.992198,1618,0.012972,10,1.000000,1650,910,0.035824,0.391182,0.651334,0.027344,-386.618195,85.022003,0.000300
63,-5.772561,0.501853,0.008602,0.990926,1678,0.018982,10,1.000000,1712,848,0.018135,0.231891,0.482881,0.011719,-381.925262,99.341324,0.000300
64,-5.590072,0.517088,0.008026,0.987415,1639,0.017292,10,1.000000,1669,891,0.006977,0.239375,0.489260,0.003906,-366.568817,109.620987,0.000300
65,-5.458995,0.526866,0.012297,0.981537,1650,0.018259,10,1.000000,1694,866,0.005581,0.278761,0.529629,0.015625,-371.149078,104.002037,0.000300
66,-5.694401,0.528805,0.015283,0.990923,1655,0.009602,10,1.000000,1692,868,0.006527,0.218707,0.468968,0.015625,-361.402802,95.556099,0.000300
67,-5.881897,0.509725,0.017142,0.990494,1706,0.010419,10,1.000000,1733,827,0.009448,0.198256,0.449244,0.019531,-356.994049,91.867516,0.000300
68,-5.359501,0.525933,0.014642,0.989225,1586,0.012901,10,1.000000,1660,895,0.027472,0.347490,0.604726,0.027397,-368.568024,89.564209,0.000300
69,-5.609963,0.512224,0.015971,0.990308,1651,0.012335,10,1.000000,1674,886,0.036594,0.510719,0.775635,0.042969,-381.370789,85.658066,0.000300
70,-5.719879,0.492346,0.012448,0.988475,1645,0.005566,10,1.000000,1703,857,0.034928,0.334176,0.585410,0.019531,-382.461426,95.761444,0.000300
71,-5.831480,0.486903,0.008776,0.984430,1662,0.013739,10,1.000000,1722,838,0.016032,0.373744,0.618710,0.027344,-390.366364,99.039452,0.000300
72,-5.760882,0.505408,0.011583,0.988678,1700,0.008338,10,1.000000,1749,811,0.034503,0.410848,0.647021,0.035156,-397.516418,103.932297,0.000300
73,-5.648702,0.522653,0.014207,0.987168,1677,0.013441,10,1.000000,1713,847,0.014429,0.360996,0.609834,0.027344,-388.076019,107.476196,0.000300
74,-5.796549,0.514060,0.015267,0.988826,1716,0.012672,10,1.000000,1749,811,0.029467,0.324675,0.577959,0.023438,-405.836456,111.078789,0.000300
75,-5.844900,0.487530,0.011809,0.989785,1644,0.006368,10,1.000000,1689,871,0.038254,0.467366,0.719937,0.039062,-413.684723,101.547287,0.000300
76,-5.912659,0.518720,0.015851,0.989218,1803,0.005100,10,1.000000,1817,743,0.012906,0.242148,0.495351,0.015625,-398.982605,109.612938,0.000300
77,-5.547458,0.524205,0.015989,0.990993,1634,0.010089,10,1.000000,1677,882,0.046801,1.708405,1.325733,0.234467,-420.563599,98.635986,0.000300
78,-5.868845,0.481231,0.021074,0.984348,1712,0.008485,10,1.000000,1747,813,0.017913,1.838603,1.410332,0.195312,-399.621765,114.227371,0.000300
