episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
1,0.721827,0.431859,0.001327,0.000668,234,0.008781,10,1.000000,1336,1210,-0.068193,0.930771,0.967435,0.046875,11.603495,5.607727,0.000300
2,1.977045,0.703699,0.001147,0.000791,296,0.049693,10,1.000000,1512,1019,-0.011611,1.639286,1.419616,0.109375,39.288467,10.986715,0.000270
3,2.058711,0.710048,0.001169,0.000801,291,0.049047,10,1.000000,1563,981,-0.024299,8.399196,3.245004,0.828125,64.197586,16.022987,0.000243
4,2.073383,0.715700,0.001127,0.000805,299,0.064067,10,1.000000,1590,948,-0.058291,6.666265,2.829053,0.773438,66.643845,14.907684,0.000219
5,2.471057,0.753615,0.001120,0.000804,299,0.053427,10,1.000000,1557,982,-0.196951,8.535792,3.250144,0.906250,75.637367,15.892282,0.000197
6,1.410949,0.615383,0.001182,0.000809,300,0.062810,10,1.000000,1572,975,-0.177136,2.971454,1.751423,0.351562,63.308525,13.502945,0.000177
7,2.272060,0.741544,0.001135,0.000809,297,0.060055,10,1.000000,1625,918,-0.054036,5.555747,2.481097,0.726562,78.355064,17.415451,0.000159
8,2.051758,0.708122,0.001139,0.000787,300,0.056635,10,1.000000,1584,960,-0.081978,4.225555,2.116806,0.531250,79.919563,13.837528,0.000143
9,2.217998,0.732738,0.001116,0.000803,299,0.063790,10,1.000000,1600,942,0.133870,4.420832,2.180808,0.515625,83.201797,17.695999,0.000129
10,1.905735,0.689487,0.001153,0.000816,301,0.071706,10,1.000000,1579,969,-0.111368,2.534116,1.633561,0.187500,79.450394,17.112133,0.000116
11,2.377201,0.749418,0.001107,0.000793,298,0.068261,10,1.000000,1581,965,0.042407,4.559425,2.267515,0.500000,88.692368,20.248482,0.000105
12,2.099971,0.717016,0.001139,0.000800,293,0.046682,10,1.000000,1552,991,-0.102361,3.383510,1.913713,0.242188,86.113136,18.348507,0.000100
13,2.098127,0.720772,0.001115,0.000819,292,0.096216,10,1.000000,1557,982,-0.123260,3.140891,1.839019,0.320312,87.591034,17.268806,0.000100
14,2.456341,0.761899,0.001107,0.000806,298,0.073356,10,1.000000,1574,957,-0.007353,3.910903,2.061460,0.406250,93.505630,18.167667,0.000100
15,2.301581,0.740738,0.001105,0.000798,298,0.072201,10,1.000000,1604,933,-0.093605,3.942559,2.084975,0.359375,92.418060,17.467136,0.000100
16,2.339341,0.745898,0.001111,0.000812,296,0.045093,10,1.000000,1588,952,-0.042096,4.556153,2.195912,0.664062,94.179581,20.152613,0.000100
17,2.330266,0.741883,0.001120,0.000800,296,0.079284,10,1.000000,1591,945,-0.037870,4.060164,2.099614,0.367188,94.685005,19.583004,0.000100
18,2.352033,0.745820,0.001102,0.000793,287,0.048919,10,1.000000,1630,903,-0.178759,4.655210,2.196175,0.703125,97.586136,18.564747,0.000100
19,2.076179,0.712750,0.001147,0.000800,294,0.067437,10,1.000000,1586,930,-0.109574,3.164814,1.892153,0.218750,91.675026,19.101439,0.000100
20,1.875965,0.668535,0.001135,0.000802,293,0.074286,10,1.000000,1588,951,-0.100859,3.192070,1.857197,0.398438,90.899712,20.117111,0.000100
21,2.038894,0.712508,0.001112,0.000815,291,0.077943,10,1.000000,1586,958,0.025335,2.523606,1.655903,0.210938,93.431808,17.392273,0.000100
22,2.033316,0.712579,0.001140,0.000806,296,0.085021,10,1.000000,1552,986,0.067750,2.526355,1.629597,0.210938,93.866417,18.480608,0.000100
23,2.018696,0.695951,0.001156,0.000792,295,0.070522,10,1.000000,1598,948,0.018318,3.309862,1.918278,0.351562,94.627945,19.302973,0.000100
24,2.426410,0.739589,0.001113,0.000814,297,0.061833,10,1.000000,1603,940,0.022838,4.553246,2.342485,0.468750,100.607597,22.690331,0.000100
25,2.236415,0.729331,0.001125,0.000801,295,0.060977,10,1.000000,1556,968,-0.102216,3.612335,2.048188,0.273438,98.736740,17.592045,0.000100
26,2.361860,0.740463,0.001098,0.000790,293,0.076428,10,1.000000,1566,982,-0.076743,3.121602,1.846702,0.265625,100.882568,18.465950,0.000100
27,2.027162,0.717279,0.001157,0.000815,294,0.061335,10,1.000000,1618,918,-0.023215,2.782667,1.798236,0.203125,97.260544,17.095819,0.000100
28,2.099946,0.718107,0.001123,0.000820,288,0.064167,10,1.000000,1587,948,-0.085827,3.192053,1.928668,0.117188,97.750343,20.620565,0.000100
29,1.934150,0.693328,0.001159,0.000823,296,0.077613,10,1.000000,1603,937,-0.028170,2.891282,1.829487,0.187500,95.943214,20.380411,0.000100
30,2.246703,0.717462,0.001111,0.000811,298,0.073324,10,1.000000,1563,961,-0.049725,4.034797,2.218194,0.359375,101.199005,23.436451,0.000100
31,1.737930,0.667945,0.001174,0.000814,300,0.069140,10,1.000000,1573,971,-0.133331,1.602895,1.336617,0.093750,94.315735,17.419186,0.000100
32,1.983663,0.703463,0.001144,0.000802,297,0.049158,10,1.000000,1565,970,0.004363,3.569827,2.105631,0.281250,98.896286,20.014793,0.000100
33,2.569239,0.772252,0.001085,0.000781,297,0.097604,10,1.000000,1620,920,-0.139272,4.495557,2.215194,0.531250,109.427650,20.939863,0.000100
34,2.644744,0.782418,0.001086,0.000780,296,0.074972,10,1.000000,1622,914,-0.075379,4.756508,2.308059,0.562500,110.454956,22.501162,0.000100
