episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
1,0.175234,0.117176,0.189785,0.970251,218,0.005212,10,1.000000,1370,1167,-0.026918,0.024842,0.157613,0.000000,2.045164,9.745737,0.000300
2,1.223471,0.321827,0.129257,0.964513,282,0.018591,10,1.000000,1542,1007,0.162068,0.485867,0.697303,0.007812,18.790951,10.835130,0.000300
3,1.576040,0.390435,0.112000,0.973101,297,0.057204,10,1.000000,1554,993,0.000633,1.535715,1.342394,0.070312,63.191967,13.741071,0.000270
4,0.952686,0.269241,0.140134,0.978531,294,0.059447,10,1.000000,1542,1005,-0.090257,1.881042,1.498032,0.156250,68.797318,16.396338,0.000243
5,1.487399,0.375446,0.118596,0.976877,302,0.070962,10,1.000000,1531,1007,-0.029900,2.221391,1.550730,0.164062,79.081017,17.932163,0.000219
6,1.579516,0.392506,0.118068,0.974732,295,0.054328,10,1.000000,1533,1007,-0.076742,1.304392,1.178171,0.031250,83.244843,15.641913,0.000197
7,1.370464,0.352012,0.130683,0.976573,297,0.069059,10,1.000000,1499,1041,-0.074559,1.672650,1.350944,0.109375,83.160866,17.470337,0.000177
8,1.063062,0.290631,0.132546,0.970762,295,0.028984,10,1.000000,1522,1019,0.010622,0.271220,0.520788,0.000000,78.629585,16.375204,0.000195
9,1.493067,0.375200,0.139104,0.965057,298,0.085366,10,1.000000,1604,940,-0.103277,3.383539,1.963842,0.335938,66.780823,15.439767,0.000175
10,1.109320,0.299886,0.138754,0.971767,303,0.113791,10,1.000000,1590,941,0.044542,1.785896,1.367624,0.109375,52.488182,14.495906,0.000158
11,1.966469,0.469081,0.114844,0.972043,299,0.109570,10,1.000000,1602,934,0.112953,3.084938,1.864573,0.351562,75.447456,20.115324,0.000142
12,2.582401,0.592127,0.093243,0.988054,300,0.124791,10,1.000000,1634,897,-0.008485,4.681653,2.327068,0.531250,87.554703,21.655088,0.000128
13,1.660809,0.408737,0.120267,0.972361,294,0.081769,10,1.000000,1638,894,-0.020561,3.559071,2.020573,0.375000,89.755226,25.752277,0.000115
14,1.502782,0.376646,0.122835,0.966162,300,0.113865,10,1.000000,1664,869,0.077312,1.475511,1.374103,0.093750,90.519135,17.922325,0.000104
15,1.990874,0.473263,0.109861,0.973570,306,0.096719,10,1.000000,1630,913,0.124187,3.215037,1.933875,0.335938,99.667442,26.322792,0.000100
16,1.502362,0.376226,0.119912,0.967173,296,0.102277,10,1.000000,1642,897,0.052274,1.777751,1.515360,0.117188,93.261871,18.139690,0.000100
17,1.590290,0.395247,0.125551,0.957525,297,0.114654,10,1.000000,1602,943,-0.014799,3.085741,1.910042,0.226562,96.800148,27.167784,0.000100
18,1.561002,0.390121,0.124624,0.982120,299,0.112509,10,1.000000,1540,996,-0.067547,1.762747,1.448181,0.093750,96.929108,22.016415,0.000100
19,1.765501,0.430615,0.114826,0.983121,295,0.116943,10,1.000000,1662,883,-0.007038,2.029086,1.553823,0.117188,105.201149,20.197243,0.000100
20,1.859510,0.448029,0.120801,0.966976,300,0.102820,10,1.000000,1547,991,-0.104245,3.766956,2.175238,0.304688,105.792610,23.839939,0.000100
21,1.346782,0.347735,0.130483,0.979106,301,0.100285,10,1.000000,1609,918,-0.141667,1.710968,1.463632,0.062500,101.377007,21.536137,0.000100
22,2.347326,0.542675,0.099967,0.956516,301,0.110538,10,1.000000,1648,900,-0.039989,3.813726,2.156332,0.367188,116.621361,21.203606,0.000100
23,1.400892,0.356874,0.125972,0.978405,295,0.119392,10,1.000000,1650,895,-0.045422,1.744111,1.623156,0.062500,104.195290,20.547297,0.000100
24,1.279889,0.332810,0.120766,0.962288,294,0.104468,10,1.000000,1622,916,-0.038470,2.036232,1.698635,0.117188,100.853394,19.420557,0.000100
25,1.513960,0.378877,0.114387,0.955191,299,0.107674,10,1.000000,1631,913,-0.051540,1.271334,1.252031,0.078125,105.273293,19.344587,0.000100
26,1.608563,0.399811,0.126826,0.978557,299,0.133010,10,1.000000,1559,981,-0.080023,1.526336,1.294277,0.101562,104.693565,22.658600,0.000100
27,1.889472,0.452276,0.109635,0.969470,297,0.091076,10,1.000000,1601,935,-0.240179,2.017830,1.479292,0.234375,113.463844,23.896095,0.000100
28,1.663858,0.408902,0.116060,0.971196,305,0.106937,10,1.000000,1625,915,-0.043418,2.491122,1.922512,0.109375,110.112511,22.166729,0.000100
29,1.619203,0.399561,0.125722,0.966593,301,0.087066,10,1.000000,1623,915,-0.005608,2.327427,1.853149,0.156250,111.610886,21.489946,0.000100
30,1.840838,0.445255,0.109461,0.986911,294,0.093969,10,1.000000,1609,913,-0.082023,3.711202,2.246527,0.281250,116.773247,28.545086,0.000100
31,1.988212,0.472034,0.111572,0.962222,296,0.106541,10,1.000000,1579,956,0.034615,2.396505,1.758100,0.132812,119.245956,21.976473,0.000100
32,2.143858,0.502277,0.107509,0.959767,292,0.103729,10,1.000000,1621,921,-0.059590,2.588996,1.754672,0.234375,122.268570,23.839645,0.000100
